nombre_nivel,segmento_completo,scenario_id,n_predios,tarifa_prom_esc,recaudo_tot_esc,share_recaudo_segmento,cobertura_tarifa_esc,recaudo_millones,share_recaudo_pct
Agresivo,Económico - Altos,1036,1271,10,11161784.91020501,0.8815809197130252,100,11.16,88.2
Agresivo,Vulnerables,1036,1227,5,796987.7448704502,0.06294774489701187,100,0.8,6.3
Agresivo,Institucional,1036,42,8,285966.5117679373,0.02258622814179219,100,0.29,2.3
Agresivo,Servicios - Altos,1036,10,12,233253.0389580734,0.018422808741146,100,0.23,1.8
Agresivo,Especulativo,1036,92,21,183108.6195639726,0.01446229850702476,100,0.18,1.4
Agresivo,Económico - Bajos,1036,248,9,1.334526e-301,0,100,0,0
Agresivo,Servicios - Bajos,1036,8,10,2.3033e-303,0,100,0,0
Conservador,Económico - Altos,129,1271,8.08,8956418.362688797,0.8456537485272396,100,8.96,84.6
Conservador,Vulnerables,129,1227,5.48,883365.8830265901,0.08340629479910186,100,0.88,8.3
Conservador,Institucional,129,42,8.81,325399.9714187788,0.03072385572644652,100,0.33,3.1
Conservador,Servicios - Altos,129,10,11,251544.29605935595,0.02375049581977989,100,0.25,2.4
Conservador,Especulativo,129,92,20,174389.1614894977,0.01646560512743212,100,0.17,1.6
Conservador,Económico - Bajos,129,248,8.27,1.232644e-301,0,100,0,0
Conservador,Servicios - Bajos,129,8,8.5,2.4007e-303,0,100,0,0
Moderado,Económico - Altos,57,1271,9.02,10052354.02781569,0.8658653486378738,100,10.05,86.6
Moderado,Vulnerables,57,1227,5.48,883365.8830265901,0.0760892330458266,100,0.88,7.6
Moderado,Institucional,57,42,8,285966.5117679373,0.02463189146796348,100,0.29,2.5
Moderado,Servicios - Altos,57,10,10.5,213528.66167526145,0.01839241520682927,100,0.21,1.8
Moderado,Especulativo,57,92,20,174389.1614894977,0.01502111164150683,100,0.17,1.5
Moderado,Económico - Bajos,57,248,8.09,1.201736e-301,0,100,0,0
Moderado,Servicios - Bajos,57,8,9.12,2.213e-304,0,100,0,0
